timestamp,loop,phase,fc,addr,name,op,raw,decoded,expected,result,latency_ms,note
2026-07-16T13:38:32.273,1,READ,3,0,Device Type,read,40,40 = DELIVERY,,OK,27.5,
2026-07-16T13:38:32.325,1,READ,3,1,Firmware Version,read,13076,13076  (dd/mm/y = 13/07/*6),,OK,26.5,
2026-07-16T13:38:32.387,1,READ,3,2,Hardware Version,read,500,500  (R5.0),,OK,36.8,
2026-07-16T13:38:32.450,1,READ,3,3,Baud Rate,read,9600,9600 bps,,OK,37.0,
2026-07-16T13:38:32.499,1,READ,3,4,Slave ID,read,21,21,,OK,23.5,
2026-07-16T13:38:32.547,1,READ,3,20,Room Temp,read,2468,24.68 C  (raw 2468),,OK,23.1,
2026-07-16T13:38:32.613,1,READ,3,21,Board Temp,read,0,0.00 C  (raw 0),,OK,40.3,
2026-07-16T13:38:32.676,1,READ,3,40,Time After Unlock,read,0,0 s,,OK,37.0,
2026-07-16T13:38:32.737,1,READ,3,60,Display Number,read,0,0,,OK,36.3,
2026-07-16T13:38:32.785,1,READ,3,80,Unlock Delay,read,0,0 ms,,OK,22.2,
2026-07-16T13:38:32.833,1,READ,3,110,Preset 1 Brightness,read,80,80 %,,OK,22.5,
2026-07-16T13:38:32.882,1,READ,3,111,Preset 1 Red,read,255,255,,OK,23.2,
2026-07-16T13:38:32.930,1,READ,3,112,Preset 1 Green,read,0,0,,OK,22.5,
2026-07-16T13:38:32.978,1,READ,3,113,Preset 1 Blue,read,0,0,,OK,22.8,
2026-07-16T13:38:33.026,1,READ,3,114,Preset 1 Max On-Time,read,3600,3600 s,,OK,22.7,
2026-07-16T13:38:33.074,1,READ,3,120,Preset 2 Brightness,read,80,80 %,,OK,22.6,
2026-07-16T13:38:33.123,1,READ,3,121,Preset 2 Red,read,0,0,,OK,23.0,
2026-07-16T13:38:33.189,1,READ,3,122,Preset 2 Green,read,255,255,,OK,41.0,
2026-07-16T13:38:33.251,1,READ,3,123,Preset 2 Blue,read,0,0,,OK,36.4,
2026-07-16T13:38:33.313,1,READ,3,124,Preset 2 Max On-Time,read,3600,3600 s,,OK,36.8,
2026-07-16T13:38:33.361,1,READ,3,130,Preset 3 Brightness,read,80,80 %,,OK,22.7,
2026-07-16T13:38:33.409,1,READ,3,131,Preset 3 Red,read,0,0,,OK,22.5,
2026-07-16T13:38:33.457,1,READ,3,132,Preset 3 Green,read,0,0,,OK,22.6,
2026-07-16T13:38:33.505,1,READ,3,133,Preset 3 Blue,read,255,255,,OK,22.7,
2026-07-16T13:38:33.554,1,READ,3,134,Preset 3 Max On-Time,read,3600,3600 s,,OK,23.0,
2026-07-16T13:38:33.603,1,READ,3,140,Preset 4 Brightness,read,80,80 %,,OK,23.4,
2026-07-16T13:38:33.665,1,READ,3,141,Preset 4 Red,read,255,255,,OK,37.3,
2026-07-16T13:38:33.714,1,READ,3,142,Preset 4 Green,read,215,215,,OK,22.8,
2026-07-16T13:38:33.762,1,READ,3,143,Preset 4 Blue,read,0,0,,OK,22.9,
2026-07-16T13:38:33.811,1,READ,3,144,Preset 4 Max On-Time,read,3600,3600 s,,OK,22.9,
2026-07-16T13:38:33.873,1,READ,3,150,Preset 5 Brightness,read,80,80 %,,OK,37.0,
2026-07-16T13:38:33.922,1,READ,3,151,Preset 5 Red,read,0,0,,OK,23.6,
2026-07-16T13:38:33.971,1,READ,3,152,Preset 5 Green,read,255,255,,OK,23.0,
2026-07-16T13:38:34.033,1,READ,3,153,Preset 5 Blue,read,255,255,,OK,36.4,
2026-07-16T13:38:34.081,1,READ,3,154,Preset 5 Max On-Time,read,3600,3600 s,,OK,22.8,
